127	Bibeau, Jeffrey	Jeffrey Bibeau
128	Biberman, Aleksandr	Aleksandr Biberman
129	Bicer, S. Murat	S. Murat Bicer
130	Billings, Jay Jay	Jay Jay Billings
131	Bisson, Mauro	Mauro Bisson
132	Blanc, Jérôme	Jérôme Blanc
133	Blanton, Brian	Brian Blanton
134	Blau, Robert	Robert Blau
135	Bliss, Daniel	Daniel Bliss
136	Bliss, Nadya Travinin	N. T. Bliss|Nadya Bliss|Nadya Travinin Bliss
137	Block, Gary	Gary Block
138	Bloom, David	David Bloom
139	Bloomfield, John	John Bloomfield
140	Blough, Douglas	Douglas Blough
141	Bockenbach, Olivier	Olivier Bockenbach
142	Boe, David	David Boe
143	Boettcher, Peter	Peter Boettcher
144	Bogdanowicz, Julius	Julius Bogdanowicz
145	Boggio, Lisandro	Lisandro Boggio
146	Bohm, Wim	Wim Bohm
147	Bohman, Tom	Tom Bohman
148	Bojanczyk, Adam	Adam Bojanczyk
149	Bolstad, Andrew K.	Andrew Bolstad|Andrew K. Bolstad
150	Boman, Erik G.	Erik G. Boman
151	Bombieri, Nicola	Nicola Bombieri
152	Bonato, Michael	Michael Bonato
153	Bond, Nigel	Nigel Bond
154	Bond, Robert	Robert Bond
155	Bonetto, Laurent	Laurent Bonetto
156	Bonn, J. P.	J. P. Bonn
157	Booth, Michael	Michael Booth
158	Bose, Bella	Bella Bose
159	Boughton, R. Scott	R. Scott Boughton
160	Bouzas, Brian	Brian Bouzas
161	Bowen, Chris	Chris Bowen
162	Boyd, M.	M. Boyd
163	Bradford, Kira	Kira Bradford
164	Bradley, Perry	Perry Bradley
165	Brady, David	David Brady
166	Braganza, Sherman	Sherman Braganza
167	Brantner-Magee, Kieran	Kieran Brantner-Magee
168	Brassaw, Diane	Diane Brassaw
169	Bratt, Ian	Ian Bratt
170	Brattain, Laura	Laura Brattain
171	Braun, Hans-Werner	Hans-Werner Braun
172	Braunreiter, Dennis	Dennis Braunreiter
173	Brayford, David	David Brayford
174	Bremer, David	David Bremer
175	Brewster, Adam	Adam Brewster
176	Brightwell, Ron	Ron Brightwell
177	Brinkmann, Mike	Mike Brinkmann
178	Briscoe, Erica	Erica Briscoe
179	Britt, Keith A.	Keith A. Britt
180	Britton, M.	M. Britton
181	Broadbent, John	John Broadbent
182	Brock, Benjamin	Benjamin Brock
183	Brock, James	James Brock
184	Brockman, Jay B.	Jay Brockman|Jay B. Brockman
185	Brodie, Benjamin	Benjamin Brodie
186	Bronowicz, Pete	Pete Bronowicz
187	Brooks, Dana	Dana Brooks
188	Brooks, David	David Brooks
189	Brooks, Richard	Richard Brooks
190	Brownfield, David	David Brownfield
191	Bruce, Robin	Robin Bruce
192	Brunina, Daniel	Daniel Brunina
193	Bruno, Paul	Paul Bruno
194	Bruns-Smith, David	David Bruns-Smith
195	Buckley, James	James Buckley
196	Budimlić, Zoran	Zoran Budimlić
197	Budlong, Brad	Brad Budlong
198	Bueno, David	David Bueno
199	Buhler, Jeremy	Jeremy Buhler
200	Bui, Bach D.	Bach D. Bui
201	Bui, Peter	Peter Bui
202	Buley, Ben	Ben Buley
203	Buluc, Aydin	Aydin Buluc|Aydin Buluç
204	Bulugioiu, Mihnea	Mihnea Bulugioiu
205	Burke, Marc	Marc Burke
206	Burke, Monica	Monica Burke
207	Burkhardt, Paul	Paul Burkhardt
208	Burkholder, Matthew	Matthew Burkholder
209	Busato, Federico	Federico Busato
210	Bush, Lawrence	Lawrence Bush
211	Buskens, Rick	Rick Buskens
212	Butts, Michael	Michael Butts
213	Buxa, Peter	Peter Buxa
214	Byun, Chansup	Chansup Byun
215	Caccamo, Marco	Marco Caccamo
216	Cai, Jonathon	Jonathon Cai
217	Cain, Kenneth Jr.	Ken Cain|Kenneth Cain|Kenneth Cain Jr.
218	Caldwell, Jeffrey	Jeffrey Caldwell
219	Calhoun, David M.	David M. Calhoun
220	Caliga, David	David Caliga
221	Calise, Mike	Mike Calise
222	Callahan, David	David Callahan
223	Calloway, Chris	Chris Calloway
224	Calvo, Jose Borreguero	Jose Borreguero Calvo
225	Camacho, Juan Antonio Villalba	Juan Camacho|Juan Antonio Villalba Camacho
226	Cameron, Ken	Ken Cameron
227	Cameron, Kirk	Kirk Cameron
228	Campagna, Dave	Dave Campagna
229	Campbell, Daniel	Dan Campbell|Daniel Campbell
230	Campbell, David	David Campbell
231	Campbell, Newton	Newton Campbell
232	Campos, Pedro	Pedro Campos
233	Cao, Yu	Yu Cao
234	Capraro, Christopher	Christopher Capraro
235	Card, Chris	Chris Card
236	Carloni, Luca P.	Luca Carloni|Luca P. Carloni
237	Carlos, John Don	John Don Carlos
238	Carlston, Peter	Peter Carlston
239	Carpman, David	David Carpman
240	Carr, R.	R. Carr
241	Carriero, Nicholas	Nicholas Carriero
242	Carson, William	William Carson
243	Cartolano, Anthony	Anthony Cartolano
244	Case, Peter	Peter Case
245	Castañeyra, Ricardo	Ricardo Castañeyra
246	Castellano, Cosmo	Cosmo Castellano
247	Castillo, Claris	Claris Castillo
248	Cavé, Vincent	Vincent Cavé
249	Cañedo, Janice	Janice Cañedo
250	Cecka, Cris	Cris Cecka
251	Cerna, Michael	Michael Cerna
252	Cesear, Thomas	Thomas Cesear
253	Chacko, James	James Chacko
254	Chaisemartin, Nicolas Morey	Nicolas Morey Chaisemartin
255	Chakrapani, Lakshmi	Lakshmi Chakrapani
256	Chalker, Alan	Alan Chalker
257	Chamberlain, Roger	Roger Chamberlain
258	Champigny, Michael	Michael Champigny
259	Chan, Aubrey	Aubrey Chan
260	Chan, Cy	Cy Chan
261	Chan, Hector	Hector Chan
262	Chan, Johnnie	Johnnie Chan
263	Chang, Lawrence	Lawrence Chang
264	Chang, Nicholas	Nicholas Chang
265	Channell, Charles	Charles Channell
266	Chao, Alan	Alan Chao
267	Chapin, John	John Chapin
268	Chapman, M.	M. Chapman
269	Chase, Brian	Brian Chase
270	Chatterjee, Sanjay	Sanjay Chatterjee
271	Chattopadhyay, Ashesh	Ashesh Chattopadhyay
272	Chaudhuri, Rabi	Rabi Chaudhuri
273	Chaves, Juan Carlos	Juan Carlos Chaves
274	Che, Shuai	Shuai Che
275	Chee, B.	B. Chee
276	Chellappa, Srinivas	Srinivas Chellappa
277	Chelmis, Charalampos	Charalampos Chelmis
278	Chen, Alexander	Alexander Chen
279	Chen, Lianmu	Lianmu Chen
280	Chen, Michael	Michael Chen
281	Chen, Peinan	Peinan Chen
282	Chen, Ping	Ping Chen
283	Chen, Ren	Ren Chen
284	Chen, Show-Yah Stuart	Show-Yah Stuart Chen
285	Chen, Tsuhan	Tsuhan Chen
286	Chen, Wang	Wang Chen
287	Chen, Xuzhou	Xuzhou Chen
288	Chen, Yiran	Yiran Chen
289	Chen, Yu-An	Yu-An Chen
290	Chen, Zhilu	Zhilu Chen
291	Cheng, David	David Cheng
292	Cheng, Lin	Lin Cheng
293	Cheung, Colman	Colman Cheung
294	Chew, Yen Hsiang	Yen Hsiang Chew
295	Chien, Andrew A.	Andrew A. Chien
296	Chin, Henry	Henry Chin
297	Chiou, Stefanie	Stefanie Chiou
298	Chiricescu, Silviu	Silviu Chiricescu
299	Chiu, Andrew	Andrew Chiu
300	Chiu, Matt	Matt Chiu
301	Chivukula, Deepti K.	Deepti K. Chivukula
302	Cho, Hyunsu	Hyunsu Cho
303	Cho, Peter	Peter Cho
304	Choi, Charles	Charles Choi
305	Choi, Heejin	Heejin Choi
306	Choi, Seonil	Seonil Choi
307	Chow, Edward	Edward Chow
308	Chowdhury, Kaushik	Kaushik Chowdhury
309	Choy, Ron	Ron Choy
310	Christensen, Fred	Fred Christensen
311	Chuffart, Vincent	Vincent Chuffart
312	Chung, Kwanghun	Kwanghun Chung
313	Cico, Luke	Luke Cico
314	Ciesko, Jan	Jan Ciesko
315	Clancy, P.	P. Clancy
316	Clark, J. Matt	J. Matt Clark
317	Clark, Matthew	Mathew Clark|Matt Clark|Matthew Clark
318	Cledat, Romain	Romain Cledat
319	Cohen, Jonathan	Jonathan Cohen
320	Colangelo, Philip	Philip Colangelo
321	Collins, Rebecca	Rebecca Collins
322	Colon-Hernandez, Pedro	Pedro Colon-Hernandez
323	Commike, Alan	A. Commike|Alan Commike
324	Conger, Chris	Chris Conger
325	Conte, Thomas M.	Thomas M. Conte
326	Conti, Albert	Albert Conti
327	Conway, Mike	Mike Conway
328	Cook, Daniel	Daniel Cook
329	Cook, Jeanine	Jeanine Cook
330	Cook, Joseph	Joe Cook|Joseph Cook
331	Cook, Tristan	Tristan Cook
332	Cooper, Robert	Robert Cooper
333	Copeland, Andrew	Andrew Copeland
334	Coposky, Jason	Jason Coposky
335	Corbett, Peter	Peter Corbett
336	Corda, Benoit	Benoit Corda
337	Cordes, Aaron	Aaron Cordes
338	Cordes, Benjamin	Ben Cordes|Benjamin Cordes
339	Cordova, Luis	Luis Cordova
340	Corretjer, Ivan	Ivan Corretjer
341	Cortese, John A.	John A. Cortese
342	Coskun, Ayse Kivilcim	Ayse Coskun|Ayse K. Coskun|Ayse Kivilcim Coskun
343	Cottel, Dennis	Dennis Cottel|Dennis Cottell
344	Courtney, Martin	Martin Courtney
345	Cousins, David Bruce	D. B. Cousins|David Cousins|David Bruce Cousins
346	Couvert, Patrice	Patrice Couvert
347	Coxson, Gregory E.	Gregory E. Coxson
348	Crago, Stephen P.	Stephen Crago|Stephen P. Crago|Steve Crago
349	Craven, Matthew	Matthew Craven
350	Crawford, Carl	Carl Crawford
351	Crawford, Catherine H.	Catherine H. Crawford
352	Cristau, Gerard	Gerard Cristau
353	Crocker, Jim	Jim Crocker
354	Crowley, Patrick	Patrick Crowley
355	Cruz, C.	C. Cruz
356	Cuccaro, Dennis	Dennis Cuccaro
357	Cui, Tao	Tao Cui
358	Culhane, Candace	Candace Culhane
359	Culpepper, Edwin	Edwin Culpepper
360	Culurciello, Eugenio	Eugenio Culurciello
361	Cump, Charlie	Charlie Cump
362	Cunningham, Robert K.	Robert K. Cunningham
363	Currie, Tim	Tim Currie
364	Curry, Matthew	Matthew Curry
365	Cytron, Ron	Ron Cytron
366	Czako, Ferenc	Ferenc Czako
367	Czubak, Angela	Angela Czubak
368	Dagenais, Michel R.	Michel R. Dagenais
369	Dahir, Nizar	Nizar Dahir
370	Dahl, Edward	Edward Dahl
371	Dahlstrom, Jason	Jason Dahlstrom
372	Dai, Wei	Wei Dai
373	Dakshinamurthy, Amruth	Amruth Dakshinamurthy
374	Dalessandro, Dennis	Dennis Dalessandro
375	Daly, Jim	Jim Daly
376	Daly, Kristin	Kristin Daly
377	Dandass, Yoginder	Yoginder Dandass
378	Dandekar, Kapil	Kapil Dandekar
379	Daniel, Erik	Erik Daniel
380	Daniel, Souza	Souza Daniel
381	Dannoritzer, Guenter	Guenter Dannoritzer
382	Daoud, Houssem	Houssem Daoud
383	Dashofy, Eric	Eric Dashofy
384	Dasu, Aravind	Aravind Dasu
385	Datar, Manasi	Manasi Datar
386	Date, Ketan	Ketan Date
387	David, Aubin	Aubin David
388	Davidoff, Drew	Drew Davidoff
389	Davis, Eli	Eli Davis
